,Age,,,,,,,,,,,
AHE,25,26,27,28,29,30,31,32,33,34,,
5,0.00297987,0.00218039,0.00203503,0.00210771,0.00145359,0.00152627,0.00130823,0.00101752,0.00145359,0.00101752,,
6,0.00116288,0.00167163,0.0010902,0.0010902,0.00130823,0.0010902,0.000508758,0.00174431,0.00101752,0.00123555,,
7,0.00247111,0.00261647,0.00254379,0.00167163,0.00283451,0.00239843,0.00174431,0.00188967,0.00203503,0.00181699,,
8,0.00239843,0.00225307,0.00167163,0.00239843,0.00138091,0.00276183,0.00218039,0.00174431,0.00210771,0.00225307,,
9,0.00356131,0.00327059,0.00283451,0.00290719,0.00319791,0.00239843,0.00261647,0.00196235,0.00305255,0.00203503,,
10,0.00516026,0.00523294,0.00399738,0.00523294,0.00443346,0.00450614,0.00457882,0.00414274,0.00479686,0.00363399,,
11,0.00377934,0.00450614,0.00399738,0.00377934,0.00370666,0.00268915,0.00261647,0.00348863,0.00283451,0.00334327,,
12,0.00755869,0.00734065,0.00741333,0.00697725,0.00704993,0.00726797,0.00719529,0.00668653,0.0057417,0.00661385,,
13,0.00370666,0.00348863,0.00363399,0.00356131,0.0042881,0.00443346,0.00276183,0.00370666,0.0039247,0.0039247,,
14,0.0057417,0.00668653,0.00603242,0.00697725,0.00690457,0.00661385,0.00646849,0.0057417,0.00523294,0.00661385,,
15,0.00414274,0.00479686,0.00363399,0.00334327,0.00377934,0.0042881,0.00334327,0.00370666,0.00479686,0.00457882,,
16,0.00319791,0.00305255,0.00334327,0.00290719,0.00399738,0.00348863,0.00348863,0.00312523,0.00312523,0.00276183,,
17,0.00603242,0.00559634,0.0039247,0.00479686,0.00625045,0.00581438,0.00690457,0.00588706,0.0050149,0.00646849,,
18,0.00210771,0.00283451,0.00188967,0.00327059,0.00305255,0.00254379,0.00334327,0.00348863,0.00363399,0.00225307,,
19,0.00588706,0.00516026,0.00508758,0.00654117,0.00668653,0.00610509,0.00552366,0.00625045,0.0050149,0.00683189,,
20,0.00297987,0.00341595,0.00319791,0.0039247,0.00334327,0.00348863,0.00348863,0.00377934,0.00385202,0.00443346,,
22,0.00407006,0.00385202,0.00399738,0.00450614,0.00559634,0.00617777,0.00595974,0.0053783,0.00675921,0.00603242,,
24,0.00494222,0.00588706,0.00472418,0.0057417,0.00654117,0.00748601,0.00777673,0.0085762,0.00828549,0.00770405,,
26,0.00239843,0.00319791,0.00377934,0.00247111,0.00377934,0.00348863,0.00407006,0.00407006,0.00450614,0.00472418,,
28,0.00290719,0.00276183,0.00297987,0.00283451,0.00436078,0.0039247,0.00545098,0.00494222,0.00545098,0.00588706,,
30,0.00210771,0.00399738,0.00319791,0.00319791,0.00407006,0.00443346,0.00494222,0.00545098,0.0050149,0.00595974,,
35,0.00167163,0.00261647,0.00341595,0.00479686,0.00508758,0.00675921,0.0050149,0.0057417,0.00632313,0.00719529,,
40,0.00152627,0.00152627,0.00232575,0.00319791,0.00305255,0.00319791,0.00319791,0.00479686,0.00363399,0.00479686,,
45,0.000799477,0.00101752,0.00188967,0.00188967,0.00247111,0.00181699,0.00290719,0.00196235,0.00268915,0.00399738,,
50,0.000654117,0.000872156,0.0010902,0.00101752,0.00167163,0.00247111,0.00181699,0.00239843,0.00261647,0.00312523,,
55,7.27E-05,0.000581438,0.000799477,0.000436078,0.000872156,0.000726797,0.00174431,0.000872156,0.00159895,0.000872156,,
60,0.000290719,0.000581438,0.000363399,0.000363399,0.000799477,0.0010902,0.00116288,0.00138091,0.00196235,0.00174431,,
65,7.27E-05,0.000290719,0.000145359,0.000290719,0.000363399,0.000436078,0.000508758,0.00101752,0.000726797,0.000581438,,
70,0.000508758,0.000944836,0.000436078,0.00116288,0.00116288,0.00130823,0.00130823,0.00312523,0.00159895,0.00254379,,
,,,,,,,,,,,,
,,,,,,,,,,,, 
